序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
1,000001,上证指数,3581.86,0.62,22.07,716155230,840573441871.1,1.05,3584.72,3547.25,3561.63,3559.79,1.36
2,399001,深证成指,11099.83,0.84,92.34,786153137,1052464845824.6143,1.18,11099.83,10970.22,11004.01,11007.49,1.17
3,899050,北证50,1458.86,0.45,6.52,16619400,35920108354.0,1.14,1466.36,1449.84,1462.27,1452.34,1.56
4,399006,创业板指,2310.86,0.61,13.98,242464648,481258167153.79,1.0,2313.46,2290.38,2295.36,2296.88,1.12
5,000680,科创综指,1279.99,0.55,6.95,42332697,141488451376.0,1.23,1286.73,1271.02,1273.04,1273.04,1.24
6,000688,科创50,1016.27,0.83,8.38,6977007,31505202793.0,1.31,1019.03,1005.84,1007.51,1007.89,1.36
7,399330,深证100,4855.83,1.05,50.26,64474435,170182377575.38,1.44,4855.83,4786.71,4803.46,4805.57,1.23
8,000300,沪深300,4118.96,0.82,33.35,257596985,450874014479.4,1.24,4119.2,4068.34,4087.34,4085.61,1.41
9,000016,上证50,2792.18,0.72,19.94,68310030,129395395396.0,1.27,2795.49,2760.31,2773.4,2772.24,1.68
10,399673,创业板50,2320.62,0.54,12.4,21382030,105714095646.38,1.15,2326.48,2299.98,2307.03,2308.22,1.07
11,000888,上证综合全收益,4067.89,0.64,25.68,716155230,840573441871.1,1.05,4071.13,4028.58,4044.91,4042.21,1.36
12,399750,深主板50,8578.47,1.13,95.84,42859538,75530091205.17,1.68,8580.71,8438.1,8472.33,8482.63,1.26
13,899601,北证专精特新,2493.98,0.68,16.77,2802122,8821348174.0,0.99,2505.08,2480.63,2498.55,2477.21,1.67
14,930050,中证A50,1632.94,1.02,16.49,55352431,141516511055.0,1.37,1633.01,1610.82,1617.44,1616.45,1.44
15,000903,中证A100,3915.63,1.1,42.5,120379889,244124599786.9,1.33,3915.64,3864.01,3875.99,3873.13,1.45
16,000510,中证A500,4849.17,0.84,40.55,356859321,601704695359.5,1.16,4849.51,4793.56,4810.45,4808.62,1.39
17,000904,中证200,4810.13,0.92,44.01,136899442,213372232140.0,1.24,4810.13,4750.93,4771.03,4766.12,1.3
18,000905,中证500,6213.41,0.85,52.1,246211642,313661670874.1,1.02,6215.41,6152.81,6166.62,6161.31,1.45
19,000906,中证800,4465.37,0.82,36.49,503808627,764535685353.5,1.17,4465.55,4413.7,4431.26,4428.88,1.43
20,000852,中证1000,6637.1,0.38,24.84,301659994,395915308553.6,0.68,6642.24,6597.05,6607.83,6612.26,1.23
21,932000,中证2000,2826.49,0.01,0.2,399685775,477585006195.0,0.68,2832.41,2813.05,2828.12,2826.29,1.15
22,000985,中证全指,5188.27,0.61,31.55,1461562566,1878511970900.0,0.97,5189.07,5139.23,5159.01,5156.72,1.26
23,000010,上证180,9062.65,0.97,86.92,179137924,268679510454.0,1.28,9071.73,8957.15,8988.35,8975.73,1.5
24,000009,上证380,5800.86,1.06,60.96,142775753,173744629351.0,1.14,5800.86,5735.69,5745.67,5739.9,1.51
25,000132,上证100,5289.7,0.59,30.91,16420324,36652779160.0,0.79,5289.88,5248.39,5262.0,5258.79,1.32
26,000133,上证150,5639.84,0.0,-0.04,27858480,43021291444.0,1.02,5671.09,5613.71,5629.81,5639.88,1.06
27,000003,Ｂ股指数,263.86,0.69,1.81,446799,198546228.1,0.91,263.86,261.47,262.13,262.05,1.06
28,000012,国债指数,225.81,-0.06,-0.14,13155551,13556760340.0,0.08,225.97,225.79,225.96,225.95,0.81
29,000013,企债指数,299.85,0.01,0.02,5798339,5887591603.0,0.0,299.86,299.85,299.85,299.83,0.68
30,000011,基金指数,6983.73,0.1,7.09,1145109557,326596227140.0,0.14,6983.85,6974.33,6976.78,6976.64,1.1
31,399002,深成指R,14823.11,0.84,123.72,543417640,571091855454.71,1.18,14823.11,14650.02,14695.15,14699.39,1.2
32,399850,深证50,7615.53,0.97,73.41,33385694,115715435550.82,1.35,7615.53,7513.69,7537.39,7542.12,1.15
33,399005,中小100,6881.54,0.58,39.82,45096510,98325469617.19,1.17,6881.72,6801.84,6833.25,6841.72,1.15
34,399003,成份Ｂ指,8543.42,0.95,80.71,270849,114823216.1142,1.44,8543.42,8421.36,8464.35,8462.71,1.07
35,399106,深证综指,2188.95,0.58,12.67,786153137,1052464845824.6143,0.95,2188.95,2168.18,2176.48,2176.28,1.17
36,399004,深证100R,6854.26,1.05,70.94,64474435,170182377575.38,1.44,6854.26,6756.7,6780.34,6783.32,1.23
37,399007,深证300,4661.66,0.89,41.34,160109218,326413951406.76,1.27,4661.66,4602.94,4618.54,4620.32,1.3
38,399008,中小300,1391.83,0.5,6.89,138591926,198780884621.79,1.04,1391.83,1377.49,1384.39,1384.94,1.21
39,399293,创业大盘,4435.33,0.32,14.01,17712359,100186985462.52,1.16,4453.95,4402.68,4417.41,4421.32,1.11
40,399019,创业200,3999.15,0.01,0.55,54025283,100040617234.09,0.91,4013.65,3977.1,3989.99,3998.6,1.09
41,399020,创业小盘,1613.47,-0.27,-4.34,53478589,91273088900.3,0.87,1620.19,1606.08,1614.25,1617.81,1.12
42,399100,新指数,10281.53,0.62,63.73,764387772,1041647796337.03,1.03,10281.53,10176.73,10218.06,10217.8,1.18
43,399550,央视50,7657.04,0.11,8.68,33213279,69575836700.86,0.87,7670.33,7603.41,7647.15,7648.36,1.58
