date,open,high,low,close
2025-06-03,15.52,15.52,14.68,14.74
2025-06-04,14.72,14.72,14.44,14.55
2025-06-05,14.55,14.64,14.44,14.61
2025-06-06,14.74,14.74,14.33,14.33
2025-06-09,14.61,14.73,14.51,14.61
2025-06-10,14.76,14.76,14.32,14.52
2025-06-11,14.61,14.85,14.17,14.57
2025-06-12,14.6,14.66,14.36,14.49
2025-06-13,14.6,14.94,14.52,14.8
2025-06-16,15.41,15.41,14.3,14.3
2025-06-17,14.2,14.28,14.0,14.23
2025-06-18,14.29,14.54,14.11,14.49
2025-06-19,14.47,15.11,14.34,14.61
2025-06-20,14.33,14.33,13.66,13.73
2025-06-23,14.13,14.19,13.2,13.57
2025-06-24,13.49,14.77,13.38,14.32
2025-06-25,14.35,17.61,14.2,16.97
2025-06-26,17.23,17.23,15.5,15.51
2025-06-27,15.55,16.31,14.48,14.53
2025-06-30,14.86,14.86,14.39,14.52
2025-07-01,14.57,14.58,14.2,14.24
2025-07-02,14.29,14.32,14.0,14.03
2025-07-03,14.24,14.45,13.99,14.1
2025-07-04,14.58,14.58,14.24,14.5
2025-07-07,14.67,14.73,14.43,14.64
2025-07-08,14.87,15.54,14.54,15.34
2025-07-09,15.55,15.84,15.25,15.34
2025-07-10,15.38,16.47,15.34,15.74
2025-07-11,15.86,19.35,15.8,16.44
2025-07-14,17.01,17.11,16.22,16.25
2025-07-15,16.33,16.48,15.11,15.16
2025-07-16,15.34,15.55,14.92,15.06
2025-07-17,15.17,15.3,14.72,15.3
2025-07-18,15.49,16.33,14.96,15.07
2025-07-21,15.56,15.78,14.94,15.49
